Company,Days Since Last Feedback,Current Lead Status,Last Contact Date,Optimal Outreach Window,Recommended Action
Reload,222,Warm ,2024-03-26,2024-12-12,Proactive outreach needed
Rembrandt,219,Negotiation,2024-01-31,2024-12-12,Proactive outreach needed
Remington,221,Disqualified,2024-02-12,2024-12-12,Proactive outreach needed
Remy Martin,218,Cold,2024-03-20,2024-12-12,Proactive outreach needed
Renault,223,Reengaged,2024-04-10,2024-12-12,Proactive outreach needed
Renner,221,Qualified,2024-04-01,2024-12-12,Proactive outreach needed
Renren,222,Warm ,2024-01-18,2024-12-12,Proactive outreach needed
Rent-A-Center,227,Proposal Sent,2024-01-27,2024-12-12,Proactive outreach needed
Repsol,222,Reengaged,2024-02-24,2024-12-12,Proactive outreach needed
ResMed,218,Nurturing,2024-03-24,2024-12-12,Proactive outreach needed
Research in Motion,221,Reengaged,2024-01-30,2024-12-12,Proactive outreach needed
Resene,220,Warm ,2024-01-31,2024-12-12,Proactive outreach needed
Retriever Communications,220,Cold,2024-02-15,2024-12-12,Proactive outreach needed
Reuters,219,New,2024-03-09,2024-12-12,Proactive outreach needed
Revlon,218,Negotiation,2024-03-12,2024-12-12,Proactive outreach needed
Rewe,219,Contacted,2024-04-28,2024-12-12,Proactive outreach needed
Reynolds,222,Disqualified,2024-03-31,2024-12-12,Proactive outreach needed
Reynolds Stockbrokers,228,Proposal Sent,2024-02-13,2024-12-12,Proactive outreach needed
Rhapsody,228,Closed-Lost,2024-03-31,2024-12-12,Proactive outreach needed
Ricard,220,Nurturing,2024-02-29,2024-12-12,Proactive outreach needed
Rice Krispies,219,Cold,2024-04-29,2024-12-12,Proactive outreach needed
Rice-A-Roni,222,Closed-Lost,2024-01-17,2024-12-12,Proactive outreach needed
Rico Linhas AÃ©reas,224,Qualified,2024-03-25,2024-12-12,Proactive outreach needed
Ricoh,219,Disqualified,2024-04-05,2024-12-12,Proactive outreach needed
Ricola,219,On-hold,2024-03-31,2024-12-12,Proactive outreach needed
Riesen,218,Qualified,2024-04-24,2024-12-12,Proactive outreach needed
Right Guard,222,Negotiation,2024-03-15,2024-12-12,Proactive outreach needed
Rimmel,220,Contacted,2024-01-03,2024-12-12,Proactive outreach needed
Rin,219,On-hold,2024-02-26,2024-12-12,Proactive outreach needed
RingkÃ¸bing Landbobank,221,On-hold,2024-04-08,2024-12-12,Proactive outreach needed
Rinker Group,222,Qualified,2024-04-23,2024-12-12,Proactive outreach needed
Rio Tinto,221,Cold,2024-02-27,2024-12-12,Proactive outreach needed
Rio Tinto Alcan,218,Contacted,2024-03-25,2024-12-12,Proactive outreach needed
Rio Tinto Group,222,Reengaged,2024-01-25,2024-12-12,Proactive outreach needed
Rip Curl,219,Nurturing,2024-03-26,2024-12-12,Proactive outreach needed
Rit,220,Proposal Sent,2024-04-21,2024-12-12,Proactive outreach needed
Ritalin,218,Referral,2024-01-21,2024-12-12,Proactive outreach needed
Rite Aid,220,Referral,2024-02-03,2024-12-12,Proactive outreach needed
Ritz,218,Disqualified,2024-02-07,2024-12-12,Proactive outreach needed
Ritz-Carlton,221,Qualified,2024-03-10,2024-12-12,Proactive outreach needed
Rivers Australia,218,Nurturing,2024-01-08,2024-12-12,Proactive outreach needed
Road Runner,218,Reengaged,2024-04-30,2024-12-12,Proactive outreach needed
Roberto Cavalli,223,In Progress,2024-01-20,2024-12-12,Proactive outreach needed
Robin's Donuts,218,On-hold,2024-04-29,2024-12-12,Proactive outreach needed
Robitussin,231,Contacted,2024-04-17,2024-12-12,Proactive outreach needed
Rochefort,232,Disqualified,2024-01-18,2024-12-12,Proactive outreach needed
RockStar Energy Drink,222,On-hold,2024-01-13,2024-12-12,Proactive outreach needed
Rockport,228,On-hold,2024-05-01,2024-12-12,Proactive outreach needed
Rodenbach,230,Warm ,2024-04-24,2024-12-12,Proactive outreach needed
Rogaine,218,Disqualified,2024-02-16,2024-12-12,Proactive outreach needed
Rogers,219,In Progress,2024-04-13,2024-12-12,Proactive outreach needed
Rolaids,224,Closed-Won,2024-03-30,2024-12-12,Proactive outreach needed
Rolex,220,Proposal Sent,2024-02-02,2024-12-12,Proactive outreach needed
Rollerblade,227,Nurturing,2024-04-05,2024-12-12,Proactive outreach needed
Rolling Rock,221,Closed-Won,2024-01-20,2024-12-12,Proactive outreach needed
Rolls-Royce,219,In Progress,2024-04-23,2024-12-12,Proactive outreach needed
Rolodex,219,Disqualified,2024-03-31,2024-12-12,Proactive outreach needed
Roma,219,Contacted,2024-02-19,2024-12-12,Proactive outreach needed
Roots Canada,226,Proposal Sent,2024-04-24,2024-12-12,Proactive outreach needed
Rose's,220,Proposal Sent,2024-01-24,2024-12-12,Proactive outreach needed
Rosneft,223,Referral,2024-04-13,2024-12-12,Proactive outreach needed
Ross Stores,221,Negotiation,2024-01-08,2024-12-12,Proactive outreach needed
Rossi Residencial,220,Closed-Won,2024-04-01,2024-12-12,Proactive outreach needed
Roundy's,220,On-hold,2024-04-27,2024-12-12,Proactive outreach needed
Routan,219,Proposal Sent,2024-02-26,2024-12-12,Proactive outreach needed
Rover,219,Reengaged,2024-01-01,2024-12-12,Proactive outreach needed
Rowenta,220,New,2024-01-22,2024-12-12,Proactive outreach needed
Roxy,226,Disqualified,2024-02-27,2024-12-12,Proactive outreach needed
Roy Morgan Research,229,Proposal Sent,2024-01-14,2024-12-12,Proactive outreach needed
Royal BAM Group,220,Qualified,2024-04-01,2024-12-12,Proactive outreach needed
Royal Bank of Canada,219,Closed-Won,2024-02-28,2024-12-12,Proactive outreach needed
Royal Bank of Scotland,228,Qualified,2024-04-17,2024-12-12,Proactive outreach needed
Royal Caribbean,220,Referral,2024-04-14,2024-12-12,Proactive outreach needed
Rubbermaid,223,Cold,2024-01-13,2024-12-12,Proactive outreach needed
Ruby Tuesday,218,Referral,2024-01-19,2024-12-12,Proactive outreach needed
Ruffles,218,Closed-Won,2024-04-22,2024-12-12,Proactive outreach needed
Rummo,222,On-hold,2024-01-12,2024-12-12,Proactive outreach needed
Russel Stover,219,Proposal Sent,2024-03-14,2024-12-12,Proactive outreach needed
Ryanair,222,Proposal Sent,2024-01-03,2024-12-12,Proactive outreach needed
Ryman Healthcare,219,Qualified,2024-03-29,2024-12-12,Proactive outreach needed
S. Pellegrino,218,Cold,2024-03-05,2024-12-12,Proactive outreach needed
S.T. Dupont,219,Closed-Won,2024-01-07,2024-12-12,Proactive outreach needed
S40,222,Proposal Sent,2024-03-23,2024-12-12,Proactive outreach needed
SAO,234,Cold,2024-02-06,2024-12-12,Proactive outreach needed
SAP,222,Closed-Lost,2024-03-13,2024-12-12,Proactive outreach needed
SAS,218,Closed-Won,2024-02-24,2024-12-12,Proactive outreach needed
SBT,221,In Progress,2024-02-29,2024-12-12,Proactive outreach needed
SEAT,235,Contacted,2024-04-20,2024-12-12,Proactive outreach needed
SEB,218,On-hold,2024-03-30,2024-12-12,Proactive outreach needed
SES,219,Negotiation,2024-03-27,2024-12-12,Proactive outreach needed
SF BIO,220,Nurturing,2024-01-03,2024-12-12,Proactive outreach needed
SFR,226,Contacted,2024-01-15,2024-12-12,Proactive outreach needed
SK Telecom,220,Warm ,2024-04-25,2024-12-12,Proactive outreach needed
SKC,220,Reengaged,2024-03-30,2024-12-12,Proactive outreach needed
SKF,220,Reengaged,2024-04-03,2024-12-12,Proactive outreach needed
SLK,218,Qualified,2024-03-04,2024-12-12,Proactive outreach needed
SME Secrets,218,New,2024-01-31,2024-12-12,Proactive outreach needed
SNS REAAL,225,Reengaged,2024-04-25,2024-12-12,Proactive outreach needed
SPAM,222,Nurturing,2024-03-10,2024-12-12,Proactive outreach needed
SPC Ardmona,221,New,2024-01-30,2024-12-12,Proactive outreach needed
SPD Bank,226,Nurturing,2024-04-10,2024-12-12,Proactive outreach needed
SQM,229,On-hold,2024-02-19,2024-12-12,Proactive outreach needed
SRX,220,Negotiation,2024-01-12,2024-12-12,Proactive outreach needed
STS,220,Qualified,2024-01-21,2024-12-12,Proactive outreach needed
Saab,222,Cold,2024-04-03,2024-12-12,Proactive outreach needed
Sabesp,226,Warm ,2024-02-17,2024-12-12,Proactive outreach needed
Safe Auto Insurance,219,Qualified,2024-02-18,2024-12-12,Proactive outreach needed
Safeport Security,223,Qualified,2024-02-17,2024-12-12,Proactive outreach needed
Safety Australia,220,Contacted,2024-03-26,2024-12-12,Proactive outreach needed
Safeway,218,On-hold,2024-01-16,2024-12-12,Proactive outreach needed
Sainsbury's,220,Negotiation,2024-04-01,2024-12-12,Proactive outreach needed
Saint-Gobain S.A.,226,Reengaged,2024-04-26,2024-12-12,Proactive outreach needed
Saks Fifth Avenue,219,Closed-Won,2024-03-18,2024-12-12,Proactive outreach needed
SaltÃ¥ Kvarn,221,Nurturing,2024-03-22,2024-12-12,Proactive outreach needed
Salvatore Ferragamo,219,Cold,2024-02-28,2024-12-12,Proactive outreach needed
Sam Adams,218,Disqualified,2024-01-03,2024-12-12,Proactive outreach needed
Sam's Club,222,On-hold,2024-04-13,2024-12-12,Proactive outreach needed
Samboy,220,Closed-Lost,2024-01-13,2024-12-12,Proactive outreach needed
Samby,220,In Progress,2024-03-23,2024-12-12,Proactive outreach needed
Samsonite,220,In Progress,2024-02-23,2024-12-12,Proactive outreach needed
Samsung,218,Cold,2024-04-14,2024-12-12,Proactive outreach needed
San Benedetto,239,On-hold,2024-02-24,2024-12-12,Proactive outreach needed
Sandals,218,In Progress,2024-04-16,2024-12-12,Proactive outreach needed
Sandman Hotels,218,Warm ,2024-04-20,2024-12-12,Proactive outreach needed
Sandvik,223,Proposal Sent,2024-01-04,2024-12-12,Proactive outreach needed
Sanford,219,Negotiation,2024-01-29,2024-12-12,Proactive outreach needed
Sanitarium,219,Negotiation,2024-03-18,2024-12-12,Proactive outreach needed
Sanofi-Aventis,238,In Progress,2024-03-22,2024-12-12,Proactive outreach needed
Santa Cerva,220,Reengaged,2024-01-06,2024-12-12,Proactive outreach needed
Santa Fe Provincial Water,220,In Progress,2024-01-26,2024-12-12,Proactive outreach needed
Santa Isabel,218,Closed-Won,2024-01-12,2024-12-12,Proactive outreach needed
Santal,224,Nurturing,2024-03-10,2024-12-12,Proactive outreach needed
Santander,221,Nurturing,2024-01-05,2024-12-12,Proactive outreach needed
Sante,220,Nurturing,2024-03-12,2024-12-12,Proactive outreach needed
Santos,219,Nurturing,2024-02-26,2024-12-12,Proactive outreach needed
Sanyo,220,Contacted,2024-01-21,2024-12-12,Proactive outreach needed
Sara Lee,223,On-hold,2024-02-17,2024-12-12,Proactive outreach needed
Saracakis,219,Qualified,2024-04-05,2024-12-12,Proactive outreach needed
Sarotti,219,In Progress,2024-03-14,2024-12-12,Proactive outreach needed
Sass & bide,218,On-hold,2024-04-20,2024-12-12,Proactive outreach needed
Saturn,219,Cold,2024-03-07,2024-12-12,Proactive outreach needed
Sausage Software,220,Closed-Lost,2024-02-19,2024-12-12,Proactive outreach needed
Save-On-Foods,223,Negotiation,2024-01-31,2024-12-12,Proactive outreach needed
Schick,222,Qualified,2024-04-05,2024-12-12,Proactive outreach needed
Schincoariol,226,Negotiation,2024-03-20,2024-12-12,Proactive outreach needed
Schindler,218,Cold,2024-03-06,2024-12-12,Proactive outreach needed
Scholastic,220,Cold,2024-02-20,2024-12-12,Proactive outreach needed
Schooner Lager,223,Proposal Sent,2024-01-21,2024-12-12,Proactive outreach needed
Schwan's,227,Cold,2024-02-24,2024-12-12,Proactive outreach needed
Schwarzkopf,219,On-hold,2024-03-29,2024-12-12,Proactive outreach needed
Schweppes,219,Cold,2024-01-03,2024-12-12,Proactive outreach needed
Schwinn,219,Proposal Sent,2024-03-04,2024-12-12,Proactive outreach needed
Science Diet,224,Nurturing,2024-04-08,2024-12-12,Proactive outreach needed
Scion,219,Qualified,2024-03-06,2024-12-12,Proactive outreach needed
Scooter Store,221,Disqualified,2024-03-31,2024-12-12,Proactive outreach needed
Scotch,220,New,2024-02-10,2024-12-12,Proactive outreach needed
Scotch-Brite,218,New,2024-01-01,2024-12-12,Proactive outreach needed
Scotchgard,220,Negotiation,2024-02-10,2024-12-12,Proactive outreach needed
Scott,224,Closed-Won,2024-04-11,2024-12-12,Proactive outreach needed
Scottish and Southern Energy,220,On-hold,2024-02-11,2024-12-12,Proactive outreach needed
Scottrade,218,Nurturing,2024-04-15,2024-12-12,Proactive outreach needed
Scrabble,219,Negotiation,2024-03-07,2024-12-12,Proactive outreach needed
Scrubbing Bubbles,221,Warm ,2024-02-11,2024-12-12,Proactive outreach needed
Sea World,224,Qualified,2024-03-20,2024-12-12,Proactive outreach needed
Seagram's,219,Negotiation,2024-02-15,2024-12-12,Proactive outreach needed
Sealy,225,Qualified,2024-04-17,2024-12-12,Proactive outreach needed
Seamless CMS,222,Proposal Sent,2024-02-16,2024-12-12,Proactive outreach needed
Sean John,224,Warm ,2024-01-09,2024-12-12,Proactive outreach needed
Seasonale,222,Contacted,2024-01-15,2024-12-12,Proactive outreach needed
Sebring,225,Qualified,2024-02-07,2024-12-12,Proactive outreach needed
Second Cup,220,Disqualified,2024-04-16,2024-12-12,Proactive outreach needed
Secret,219,Contacted,2024-04-03,2024-12-12,Proactive outreach needed
Sector 9,238,In Progress,2024-03-30,2024-12-12,Proactive outreach needed
Sectra,220,In Progress,2024-03-04,2024-12-12,Proactive outreach needed
Sedona,219,On-hold,2024-03-19,2024-12-12,Proactive outreach needed
Seek Limited,219,Negotiation,2024-03-04,2024-12-12,Proactive outreach needed
Select Comfort,230,Disqualified,2024-04-29,2024-12-12,Proactive outreach needed
Selsun Blue,218,Qualified,2024-02-04,2024-12-12,Proactive outreach needed
Selters,219,Negotiation,2024-01-04,2024-12-12,Proactive outreach needed
Sensodyne,227,Cold,2024-02-20,2024-12-12,Proactive outreach needed
Seoul Milk,220,Contacted,2024-01-19,2024-12-12,Proactive outreach needed
Sephora,218,Negotiation,2024-03-09,2024-12-12,Proactive outreach needed
Septwolves,218,Referral,2024-03-26,2024-12-12,Proactive outreach needed
Sequoia,220,Contacted,2024-03-14,2024-12-12,Proactive outreach needed
Seratec Pty Ltd,226,Closed-Lost,2024-03-31,2024-12-12,Proactive outreach needed
Serta,218,Nurturing,2024-04-14,2024-12-12,Proactive outreach needed
Sesame Street,221,Warm ,2024-04-20,2024-12-12,Proactive outreach needed
Seven,218,Disqualified,2024-01-13,2024-12-12,Proactive outreach needed
Sfakianakis,219,In Progress,2024-01-30,2024-12-12,Proactive outreach needed
Shake ân Bake,218,Closed-Won,2024-02-18,2024-12-12,Proactive outreach needed
Shane Co.,221,Nurturing,2024-04-05,2024-12-12,Proactive outreach needed
Shanghai Tang,220,Disqualified,2024-03-25,2024-12-12,Proactive outreach needed
Shangri-La,221,Cold,2024-01-18,2024-12-12,Proactive outreach needed
Sharp,221,Negotiation,2024-03-03,2024-12-12,Proactive outreach needed
Sharper Image,219,Cold,2024-03-07,2024-12-12,Proactive outreach needed
Sharpie,219,Negotiation,2024-04-03,2024-12-12,Proactive outreach needed
Shell,229,Negotiation,2024-01-07,2024-12-12,Proactive outreach needed
Shell Canada,218,Cold,2024-04-16,2024-12-12,Proactive outreach needed
Sheraton,219,Contacted,2024-03-12,2024-12-12,Proactive outreach needed
Sherlock Holmes,227,Cold,2024-01-23,2024-12-12,Proactive outreach needed
Sherrin,220,Cold,2024-03-17,2024-12-12,Proactive outreach needed
Sherwin-Williams,218,Closed-Won,2024-03-07,2024-12-12,Proactive outreach needed
Shimano,221,Cold,2024-02-29,2024-12-12,Proactive outreach needed
Shinhan Bank,220,Closed-Lost,2024-03-01,2024-12-12,Proactive outreach needed
Shinsegae,218,New,2024-02-25,2024-12-12,Proactive outreach needed
Shiseido,222,Referral,2024-04-21,2024-12-12,Proactive outreach needed
Shivam Technologies,223,Qualified,2024-01-12,2024-12-12,Proactive outreach needed
Shop Rite,219,Referral,2024-01-18,2024-12-12,Proactive outreach needed
ShopNBC,223,On-hold,2024-04-10,2024-12-12,Proactive outreach needed
Shopko,224,Warm ,2024-03-19,2024-12-12,Proactive outreach needed
Shout,224,On-hold,2024-03-06,2024-12-12,Proactive outreach needed
Shuanghui,219,Negotiation,2024-04-29,2024-12-12,Proactive outreach needed
Sidchrome,218,New,2024-04-08,2024-12-12,Proactive outreach needed
Siemens,222,Disqualified,2024-02-10,2024-12-12,Proactive outreach needed
Sienna,218,On-hold,2024-03-08,2024-12-12,Proactive outreach needed
Siera Mist,219,Contacted,2024-03-15,2024-12-12,Proactive outreach needed
Sierra,221,On-hold,2024-01-17,2024-12-12,Proactive outreach needed
Sigma Company,219,Qualified,2024-01-24,2024-12-12,Proactive outreach needed
Silly Putty,222,Closed-Lost,2024-01-27,2024-12-12,Proactive outreach needed
Silver Fern Farms,228,Disqualified,2024-01-04,2024-12-12,Proactive outreach needed
Silverado,249,In Progress,2024-03-08,2024-12-12,Proactive outreach needed
Silverton Rail,220,Closed-Lost,2024-02-13,2024-12-12,Proactive outreach needed
Sime Darby,218,Referral,2024-03-05,2024-12-12,Proactive outreach needed
Similac,218,Contacted,2024-04-13,2024-12-12,Proactive outreach needed
Simply Market,227,Qualified,2024-04-03,2024-12-12,Proactive outreach needed
Simpson,219,Warm ,2024-02-15,2024-12-12,Proactive outreach needed
Sin Chew,218,Negotiation,2024-02-14,2024-12-12,Proactive outreach needed
Sina,219,On-hold,2024-01-05,2024-12-12,Proactive outreach needed
SingTel,220,Referral,2024-02-01,2024-12-12,Proactive outreach needed
Singapore Airlines,223,New,2024-02-08,2024-12-12,Proactive outreach needed
Singha,218,Negotiation,2024-03-15,2024-12-12,Proactive outreach needed
Singles,222,New,2024-02-19,2024-12-12,Proactive outreach needed
Sino Gold,220,Referral,2024-03-20,2024-12-12,Proactive outreach needed
Sinopec,226,Warm ,2024-04-01,2024-12-12,Proactive outreach needed
Sirius,221,On-hold,2024-02-13,2024-12-12,Proactive outreach needed
Six Apart,228,Reengaged,2024-01-27,2024-12-12,Proactive outreach needed
Skechers,218,Reengaged,2024-04-20,2024-12-12,Proactive outreach needed
Skin Food,228,New,2024-02-25,2024-12-12,Proactive outreach needed
Skippy,219,Referral,2024-01-26,2024-12-12,Proactive outreach needed
Skittles,220,Proposal Sent,2024-01-25,2024-12-12,Proactive outreach needed
Skol,219,Nurturing,2024-04-10,2024-12-12,Proactive outreach needed
Skycity Entertainment Group,225,Contacted,2024-04-27,2024-12-12,Proactive outreach needed
Skype,219,Closed-Won,2024-01-16,2024-12-12,Proactive outreach needed
Skyy,229,Reengaged,2024-04-28,2024-12-12,Proactive outreach needed
Slater & Gordon,218,On-hold,2024-01-15,2024-12-12,Proactive outreach needed
Sligro,224,Warm ,2024-01-27,2024-12-12,Proactive outreach needed
Slim Jim,229,Disqualified,2024-01-12,2024-12-12,Proactive outreach needed
Slim-Fast,219,Disqualified,2024-04-13,2024-12-12,Proactive outreach needed
SlimFast,218,Closed-Won,2024-03-30,2024-12-12,Proactive outreach needed
Slinky,219,On-hold,2024-04-20,2024-12-12,Proactive outreach needed
Slumberland,229,Nurturing,2024-04-13,2024-12-12,Proactive outreach needed
Slurpee,218,Closed-Lost,2024-04-18,2024-12-12,Proactive outreach needed
Smacks,221,Cold,2024-03-28,2024-12-12,Proactive outreach needed
Smart,224,New,2024-03-08,2024-12-12,Proactive outreach needed
Smart Ones,222,On-hold,2024-02-12,2024-12-12,Proactive outreach needed
Smart Start,218,Disqualified,2024-04-11,2024-12-12,Proactive outreach needed
SmartNS,224,Closed-Won,2024-01-21,2024-12-12,Proactive outreach needed
Smarties,219,On-hold,2024-03-01,2024-12-12,Proactive outreach needed
Smirnoff,221,Reengaged,2024-03-23,2024-12-12,Proactive outreach needed
Smith & Wesson,220,Nurturing,2024-04-26,2024-12-12,Proactive outreach needed
Smorgon Steel,218,In Progress,2024-04-02,2024-12-12,Proactive outreach needed
Smucker's,222,Closed-Won,2024-04-07,2024-12-12,Proactive outreach needed
Snack Brands Australia,219,Proposal Sent,2024-02-06,2024-12-12,Proactive outreach needed
Snack Pack,218,Contacted,2024-03-17,2024-12-12,Proactive outreach needed
SnackWell's,218,Referral,2024-01-10,2024-12-12,Proactive outreach needed
Snapple,226,On-hold,2024-04-29,2024-12-12,Proactive outreach needed
Snappy Tom,225,On-hold,2024-02-15,2024-12-12,Proactive outreach needed
Snickers,220,Closed-Lost,2024-04-03,2024-12-12,Proactive outreach needed
Snow,221,Closed-Lost,2024-03-18,2024-12-12,Proactive outreach needed
Snowy Hydro Limited,247,Proposal Sent,2024-01-03,2024-12-12,Proactive outreach needed
Snuggle,218,Closed-Lost,2024-01-03,2024-12-12,Proactive outreach needed
SoBe,221,Reengaged,2024-04-26,2024-12-12,Proactive outreach needed
Socedad QuÃ­mica y Minera de Chile,222,Nurturing,2024-04-14,2024-12-12,Proactive outreach needed
SociÃ©tÃ© GÃ©nÃ©rale,218,Reengaged,2024-03-09,2024-12-12,Proactive outreach needed
Sodexo,219,Negotiation,2024-01-23,2024-12-12,Proactive outreach needed
Soft 'n Gentle,218,Reengaged,2024-03-17,2024-12-12,Proactive outreach needed
Soft Batch,219,Referral,2024-03-17,2024-12-12,Proactive outreach needed
Soft Scrub,225,In Progress,2024-04-22,2024-12-12,Proactive outreach needed
Softsoap,227,Qualified,2024-03-18,2024-12-12,Proactive outreach needed
Sohu,225,In Progress,2024-02-21,2024-12-12,Proactive outreach needed
Sokenbicha,221,Negotiation,2024-04-24,2024-12-12,Proactive outreach needed
Solara,219,Nurturing,2024-01-02,2024-12-12,Proactive outreach needed
Sole,218,Contacted,2024-02-01,2024-12-12,Proactive outreach needed
Sonata,222,In Progress,2024-04-01,2024-12-12,Proactive outreach needed
Sonera,222,On-hold,2024-04-20,2024-12-12,Proactive outreach needed
Sonic,223,Disqualified,2024-04-20,2024-12-12,Proactive outreach needed
Sonicare,220,Reengaged,2024-03-31,2024-12-12,Proactive outreach needed
Sony,220,Closed-Lost,2024-01-05,2024-12-12,Proactive outreach needed
Soprole,218,Qualified,2024-01-15,2024-12-12,Proactive outreach needed
Sorento,226,Qualified,2024-03-08,2024-12-12,Proactive outreach needed
South Park,219,On-hold,2024-01-28,2024-12-12,Proactive outreach needed
Southern Comfort,220,New,2024-02-08,2024-12-12,Proactive outreach needed
Southern Cross,218,In Progress,2024-02-27,2024-12-12,Proactive outreach needed
Spa Espirit Group,219,Disqualified,2024-01-11,2024-12-12,Proactive outreach needed
Spaceframe Construction & Engineering,218,Warm ,2024-02-03,2024-12-12,Proactive outreach needed
SpaghettiOs,222,Closed-Lost,2024-04-26,2024-12-12,Proactive outreach needed
Spar Group,223,Qualified,2024-04-14,2024-12-12,Proactive outreach needed
Spar Nord,219,Qualified,2024-01-20,2024-12-12,Proactive outreach needed
Sparco,224,Closed-Won,2024-03-04,2024-12-12,Proactive outreach needed
Spark Notes,220,Qualified,2024-04-08,2024-12-12,Proactive outreach needed
Special K,219,Negotiation,2024-02-22,2024-12-12,Proactive outreach needed
Spectra,218,Referral,2024-02-16,2024-12-12,Proactive outreach needed
Speed Stick,226,Reengaged,2024-01-13,2024-12-12,Proactive outreach needed
Speedo,220,In Progress,2024-03-12,2024-12-12,Proactive outreach needed
Speedo International Limited,219,Closed-Won,2024-02-06,2024-12-12,Proactive outreach needed
Speedwell bicycles,219,Contacted,2024-01-06,2024-12-12,Proactive outreach needed
Spencer,232,Disqualified,2024-01-21,2024-12-12,Proactive outreach needed
Spinbrush,220,Closed-Lost,2024-02-04,2024-12-12,Proactive outreach needed
Splenda,221,In Progress,2024-01-20,2024-12-12,Proactive outreach needed
Splice,223,Contacted,2024-01-19,2024-12-12,Proactive outreach needed
Spoler,219,Nurturing,2024-02-22,2024-12-12,Proactive outreach needed
Sportage,222,Closed-Won,2024-03-10,2024-12-12,Proactive outreach needed
Sportmart,220,Closed-Lost,2024-01-31,2024-12-12,Proactive outreach needed
Sports Authority,221,Negotiation,2024-03-24,2024-12-12,Proactive outreach needed
Sports Illustrated,218,Qualified,2024-03-08,2024-12-12,Proactive outreach needed
Spotify,221,New,2024-03-12,2024-12-12,Proactive outreach needed
Spray ân Wash,236,Closed-Lost,2024-02-01,2024-12-12,Proactive outreach needed
Springland International,222,Reengaged,2024-02-05,2024-12-12,Proactive outreach needed
Sprint,223,Negotiation,2024-01-27,2024-12-12,Proactive outreach needed
Sprite,218,New,2024-03-05,2024-12-12,Proactive outreach needed
Squirt,219,On-hold,2024-04-19,2024-12-12,Proactive outreach needed
St John,218,Closed-Lost,2024-04-20,2024-12-12,Proactive outreach needed
St. George Bank,220,On-hold,2024-04-05,2024-12-12,Proactive outreach needed
St. Ive's,220,Proposal Sent,2024-03-06,2024-12-12,Proactive outreach needed
Stain Stick,224,New,2024-02-29,2024-12-12,Proactive outreach needed
StairMaster,218,In Progress,2024-01-15,2024-12-12,Proactive outreach needed
Staminade,220,Referral,2024-04-24,2024-12-12,Proactive outreach needed
Standard Chartered,223,Reengaged,2024-02-29,2024-12-12,Proactive outreach needed
Stanley,237,Cold,2024-03-25,2024-12-12,Proactive outreach needed
Stanley Black & Decker,219,Contacted,2024-04-08,2024-12-12,Proactive outreach needed
Stanley Steemer,221,New,2024-01-16,2024-12-12,Proactive outreach needed
Stanwell Corporation,219,Nurturing,2024-03-11,2024-12-12,Proactive outreach needed
Staples,218,Contacted,2024-01-13,2024-12-12,Proactive outreach needed
Star Channel,220,Warm ,2024-02-05,2024-12-12,Proactive outreach needed
Star Wars,224,Disqualified,2024-01-22,2024-12-12,Proactive outreach needed
Star-Kist,223,Cold,2024-03-18,2024-12-12,Proactive outreach needed
StarHub,229,Proposal Sent,2024-02-01,2024-12-12,Proactive outreach needed
Starburst,219,Closed-Lost,2024-03-06,2024-12-12,Proactive outreach needed
State,219,Warm ,2024-04-18,2024-12-12,Proactive outreach needed
State Farm,225,Contacted,2024-02-04,2024-12-12,Proactive outreach needed
Statesman,221,Referral,2024-03-27,2024-12-12,Proactive outreach needed
Steeden,228,New,2024-04-22,2024-12-12,Proactive outreach needed
Steel Reserve,220,Nurturing,2024-03-01,2024-12-12,Proactive outreach needed
Steelback Brewery,220,Contacted,2024-04-20,2024-12-12,Proactive outreach needed
Stella Artois,220,Nurturing,2024-03-17,2024-12-12,Proactive outreach needed
Steve Madden,221,Nurturing,2024-02-20,2024-12-12,Proactive outreach needed
Sticky Johnson,218,In Progress,2024-03-27,2024-12-12,Proactive outreach needed
Stihl,219,New,2024-01-18,2024-12-12,Proactive outreach needed
Stop & shop,227,Reengaged,2024-04-14,2024-12-12,Proactive outreach needed
Stora Enso,220,Cold,2024-01-27,2024-12-12,Proactive outreach needed
Stouffer's,218,Contacted,2024-01-30,2024-12-12,Proactive outreach needed
Stove Top,223,New,2024-03-04,2024-12-12,Proactive outreach needed
Strabag,222,Referral,2024-03-22,2024-12-12,Proactive outreach needed
Straits Times,218,Closed-Lost,2024-01-04,2024-12-12,Proactive outreach needed
Strategic Marine,224,Disqualified,2024-01-31,2024-12-12,Proactive outreach needed
Streets,218,Cold,2024-01-18,2024-12-12,Proactive outreach needed
Stri-Dex,222,Closed-Won,2024-01-22,2024-12-12,Proactive outreach needed
Stride,220,In Progress,2024-03-28,2024-12-12,Proactive outreach needed
SuJon Berries,225,Closed-Lost,2024-03-26,2024-12-12,Proactive outreach needed
Suave,238,Cold,2024-01-04,2024-12-12,Proactive outreach needed
Subaru,222,In Progress,2024-03-11,2024-12-12,Proactive outreach needed
Sucrets,220,Cold,2024-01-17,2024-12-12,Proactive outreach needed
Sudafed,221,Reengaged,2024-01-05,2024-12-12,Proactive outreach needed
Sudzucker,221,Closed-Won,2024-01-31,2024-12-12,Proactive outreach needed
Suez Environnment,225,In Progress,2024-01-03,2024-12-12,Proactive outreach needed
Sun Chips,218,On-hold,2024-01-17,2024-12-12,Proactive outreach needed
